,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,1,Golden State Warriors,24,241.0,38.9,85.6,0.455,12.8,32.4,0.393,26.2,53.2,0.492,17.1,23.3,0.735,10.5,32.7,43.2,24.3,8.0,5.5,14.0,22.0,107.7
,2,Cleveland Cavaliers,21,240.0,38.3,81.8,0.469,12.3,30.2,0.406,26.0,51.5,0.506,15.8,21.8,0.725,10.7,32.6,43.3,21.2,7.8,4.2,12.5,19.6,104.8
,3,Oklahoma City Thunder,18,240.0,38.2,84.5,0.452,8.3,24.9,0.333,29.9,59.6,0.502,21.7,27.6,0.786,12.5,34.4,46.9,20.5,7.7,5.4,13.9,20.3,106.4
,4,Toronto Raptors,20,243.8,34.3,81.4,0.421,6.9,23.0,0.298,27.4,58.5,0.469,18.1,24.5,0.737,10.8,29.6,40.4,15.7,7.5,3.7,13.0,21.9,93.4
,5,Miami Heat,14,245.4,36.9,80.5,0.458,6.9,19.1,0.358,30.0,61.4,0.489,16.3,21.3,0.765,9.1,35.1,44.2,16.4,5.4,5.9,13.1,21.2,96.9
,6,Portland Trail Blazers,11,242.3,37.1,89.1,0.416,11.9,31.3,0.381,25.2,57.8,0.436,18.9,25.5,0.740,12.9,34.7,47.6,21.5,6.2,3.9,13.1,23.5,105.0
,7,San Antonio Spurs,10,240.0,38.7,82.5,0.469,8.2,19.1,0.429,30.5,63.4,0.481,16.4,20.5,0.800,7.9,31.6,39.5,21.3,9.1,7.0,11.6,18.2,102.0
,8,Atlanta Hawks,10,242.5,36.6,84.8,0.432,10.6,31.8,0.333,26.0,53.0,0.491,16.3,20.5,0.795,8.9,35.4,44.3,22.6,7.5,7.6,14.4,20.2,100.1
,9,Indiana Pacers,7,240.0,33.0,74.9,0.441,8.1,21.3,0.383,24.9,53.6,0.464,19.6,23.9,0.820,9.1,30.1,39.3,18.1,7.6,5.6,14.4,22.3,93.7
,10,Charlotte Hornets,7,240.0,31.9,80.4,0.396,5.7,18.6,0.308,26.1,61.9,0.423,20.9,24.9,0.839,7.1,29.7,36.9,13.6,5.7,3.3,9.4,17.4,90.3
,11,Los Angeles Clippers,6,240.0,37.2,85.0,0.437,5.7,19.5,0.291,31.5,65.5,0.481,18.3,29.3,0.625,11.3,34.8,46.2,18.2,8.5,4.7,9.7,20.5,98.3
,12,Boston Celtics,6,244.2,34.3,89.5,0.384,8.7,31.5,0.275,25.7,58.0,0.443,16.5,21.0,0.786,10.7,35.3,46.0,21.0,6.3,6.5,14.7,22.0,93.8
,13,Dallas Mavericks,5,240.0,35.4,81.2,0.436,6.2,21.4,0.290,29.2,59.8,0.488,16.8,24.2,0.694,9.2,25.8,35.0,20.6,6.0,2.4,11.8,24.0,93.8
,14,Houston Rockets,5,240.0,33.0,85.6,0.386,7.6,28.4,0.268,25.4,57.2,0.444,17.6,27.4,0.642,14.4,33.0,47.4,18.0,8.4,4.2,19.0,25.6,91.2
,15,Detroit Pistons,4,240.0,36.0,75.3,0.478,8.8,23.3,0.376,27.3,52.0,0.524,14.3,22.0,0.648,7.0,30.8,37.8,21.8,5.3,3.3,10.5,19.0,95.0
,16,Memphis Grizzlies,4,240.0,32.0,81.3,0.394,4.8,16.0,0.297,27.3,65.3,0.418,12.3,17.5,0.700,13.8,27.3,41.0,16.5,7.8,4.0,15.5,21.5,81.0
,,League Average,11,241.5,36.5,83.1,0.440,9.1,25.8,0.354,27.4,57.3,0.478,17.6,23.6,0.747,10.5,32.5,43.0,19.9,7.3,5.0,13.2,21.1,99.8
